ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8994157199680,Leopard Pattern Mama Grandma Personalized Leather Handbag CTL02JAN24TT3,1,0,visible,,"<p style=""margin-left:auto;"">One exquisite gift for women in significant occasions like Christmas, wedding anniversary, thanksgiving days.</p><p style=""margin-left:auto;""><strong>Product Details:</strong></p><ul>
<li>
<strong>Premium material:</strong> This ladies leather handbag are made of premium water-resistant PU leather.</li>
<li>Convenient and comfortable to top handle, fit in your work, daily and travel use, as well as matching your various fashion outfit style.</li>
<li>Featuring a main space with 1 zipper pocket and 1 slip pockets. Main compartment could effectively carry you daily necessities such as phone, keys, sunglasses, small wallet etc, perfectly just easy.</li>
<li>Decorate with pretty metal logo, Premium leather has own well texture also rich &amp; firm silhouette with certain softness.</li>
</ul><p style=""margin-left:auto;""><strong>Customization:</strong></p><ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul><figure class=""image""><img src=""https://scontent.xx.fbcdn.net/v/t1.15752-9/346151583_275144761634065_7399817691490946128_n.png?_nc_cat=108&amp;ccb=1-7&amp;_nc_sid=aee45a&amp;_nc_ohc=H0a2VPLYAbYAX8Tjbx0&amp;_nc_ad=z-m&amp;_nc_cid=0&amp;_nc_ht=scontent.xx&amp;oh=03_AdRj94gY8RctvZdB7MD1U2g02J-CXjajOiYZfEDJfDghmA&amp;oe=649254F4""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL02JAN24TT3-ads-1.jpg?v=1704266793,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL02JAN24TT3-ads-4.jpg?v=1704266793,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL02JAN24TT3-ads-2.jpg?v=1704266793,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL02JAN24TT3-ads-3.jpg?v=1704266793",,,,,,,,,0,Strap Color,"Black,Beige",0,1,Black,,,,,,,,,,,
,variation,8994157199680-1,Leopard Pattern Mama Grandma Personalized Leather Handbag CTL02JAN24TT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL02JAN24TT3-ads-1.jpg?v=1704266793,,,8994157199680,,,,,,1,Strap Color,Black,,1,,,,,,,,,,,,
,variation,8994157199680-2,Leopard Pattern Mama Grandma Personalized Leather Handbag CTL02JAN24TT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL02JAN24TT3-ads-1.jpg?v=1704266793,,,8994157199680,,,,,,2,Strap Color,Beige,,1,,,,,,,,,,,,
,variable,9048127701312,Personalized Grandma Leather Handbag VTX02FEB24TP1,1,0,visible,,"<p style=""margin-left:auto;"">One exquisite gift for women in significant occasions like Christmas, wedding anniversary, thanksgiving days.</p><p style=""margin-left:auto;""><strong>Product Details:</strong></p><ul>
<li>
<strong>Premium material:</strong> This ladies leather handbag are made of premium water-resistant PU leather.</li>
<li>Convenient and comfortable to top handle, fit in your work, daily and travel use, as well as matching your various fashion outfit style.</li>
<li>Featuring a main space with 1 zipper pocket and 1 slip pockets. Main compartment could effectively carry you daily necessities such as phone, keys, sunglasses, small wallet etc, perfectly just easy.</li>
<li>Decorate with pretty metal logo, Premium leather has own well texture also rich &amp; firm silhouette with certain softness.</li>
</ul><p style=""margin-left:auto;""><strong>Customization:</strong></p><ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul><figure class=""image""><img src=""https://scontent.xx.fbcdn.net/v/t1.15752-9/346151583_275144761634065_7399817691490946128_n.png?_nc_cat=108&amp;ccb=1-7&amp;_nc_sid=aee45a&amp;_nc_ohc=H0a2VPLYAbYAX8Tjbx0&amp;_nc_ad=z-m&amp;_nc_cid=0&amp;_nc_ht=scontent.xx&amp;oh=03_AdRj94gY8RctvZdB7MD1U2g02J-CXjajOiYZfEDJfDghmA&amp;oe=649254F4""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX02FEB24TP1-ads-1.jpg?v=1706933939,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads-4_275615ef-9dac-4f72-b521-683e69d7cd35.jpg?v=1706933939,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads-2_34973622-aa40-422c-b03a-fc8fc23c48ed.jpg?v=1706933939,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads-3_ddd1f095-5fe4-4566-8b2d-d61d918662c5.jpg?v=1706933939",,,,,,,,,0,Strap Color,"Black,Beige",0,1,Black,,,,,,,,,,,
,variation,9048127701312-1,Personalized Grandma Leather Handbag VTX02FEB24TP1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX02FEB24TP1-ads-1.jpg?v=1706933939,,,9048127701312,,,,,,1,Strap Color,Black,,1,,,,,,,,,,,,
,variation,9048127701312-2,Personalized Grandma Leather Handbag VTX02FEB24TP1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX02FEB24TP1-ads-1.jpg?v=1706933939,,,9048127701312,,,,,,2,Strap Color,Beige,,1,,,,,,,,,,,,
,variable,9052554461504,Personalized Sweet Heart Grandma Mom Kids Leather Handbag CTL05FEB24TT1,1,0,visible,,"<p style=""margin-left: auto;"">One exquisite gift for women in significant occasions like Christmas, wedding anniversary, thanksgiving days.</p>
<p style=""margin-left: auto;""><strong>Product Details:</strong></p>
<ul>
<li>
<strong>Premium material:</strong> This ladies leather handbag are made of premium water-resistant PU leather.</li>
<li>Convenient and comfortable to top handle, fit in your work, daily and travel use, as well as matching your various fashion outfit style.</li>
<li>Featuring a main space with 1 zipper pocket and 1 slip pockets. Main compartment could effectively carry you daily necessities such as phone, keys, sunglasses, small wallet etc, perfectly just easy.</li>
<li>Decorate with pretty metal logo, Premium leather has own well texture also rich &amp; firm silhouette with certain softness.</li>
</ul>
<p style=""margin-left: auto;""><strong>Customization:</strong></p>
<ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0831/0528/4416/files/346151583_275144761634065_7399817691490946128_n_480x480_73d0eb97-dd31-4d69-9c6f-3677e23ecf82_480x480.webp?v=1708324898""></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS.jpg?v=1707187794,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS-3.jpg?v=1707187794,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS-4.jpg?v=1707187794,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS-1.jpg?v=1707187794,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS-2.jpg?v=1707187615",,,,,,,,,0,Strap Color,"Black,Beige",0,1,Black,,,,,,,,,,,
,variation,9052554461504-1,Personalized Sweet Heart Grandma Mom Kids Leather Handbag CTL05FEB24TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS-3.jpg?v=1707187794,,,9052554461504,,,,,,1,Strap Color,Black,,1,,,,,,,,,,,,
,variation,9052554461504-2,Personalized Sweet Heart Grandma Mom Kids Leather Handbag CTL05FEB24TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CLT05FEB24TT1-ADS-3.jpg?v=1707187794,,,9052554461504,,,,,,2,Strap Color,Beige,,1,,,,,,,,,,,,
,variable,9049783664960,Vintage Patterned Personalized Leather Handbag For Grandma/ Mom VTX03FEB24NY1,1,0,visible,,"<p style=""margin-left:auto;"">One exquisite gift for women in significant occasions like Christmas, wedding anniversary, thanksgiving days.</p><p style=""margin-left:auto;""><strong>Product Details:</strong></p><ul>
<li>
<strong>Premium material:</strong> This ladies leather handbag are made of premium water-resistant PU leather.</li>
<li>Convenient and comfortable to top handle, fit in your work, daily and travel use, as well as matching your various fashion outfit style.</li>
<li>Featuring a main space with 1 zipper pocket and 1 slip pockets. Main compartment could effectively carry you daily necessities such as phone, keys, sunglasses, small wallet etc, perfectly just easy.</li>
<li>Decorate with pretty metal logo, Premium leather has own well texture also rich &amp; firm silhouette with certain softness.</li>
</ul><p style=""margin-left:auto;""><strong>Customization:</strong></p><ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul><figure class=""image""><img src=""https://scontent.xx.fbcdn.net/v/t1.15752-9/346151583_275144761634065_7399817691490946128_n.png?_nc_cat=108&amp;ccb=1-7&amp;_nc_sid=aee45a&amp;_nc_ohc=H0a2VPLYAbYAX8Tjbx0&amp;_nc_ad=z-m&amp;_nc_cid=0&amp;_nc_ht=scontent.xx&amp;oh=03_AdRj94gY8RctvZdB7MD1U2g02J-CXjajOiYZfEDJfDghmA&amp;oe=649254F4""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX03FEB24NY1-ads.jpg?v=1707105853,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads5_9fb5f814-1f69-4d87-8436-ffd04414a076.jpg?v=1707105853,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads3_331c4cf2-ad61-4557-b37e-cc1563174292.jpg?v=1707105853,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads2_a126c869-b87f-43b8-b8da-630841d773a3.jpg?v=1707105853",,,,,,,,,0,Strap Color,"Black,Beige",0,1,Black,,,,,,,,,,,
,variation,9049783664960-1,Vintage Patterned Personalized Leather Handbag For Grandma/ Mom VTX03FEB24NY1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX03FEB24NY1-ads.jpg?v=1707105853,,,9049783664960,,,,,,1,Strap Color,Black,,1,,,,,,,,,,,,
,variation,9049783664960-2,Vintage Patterned Personalized Leather Handbag For Grandma/ Mom VTX03FEB24NY1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX03FEB24NY1-ads.jpg?v=1707105853,,,9049783664960,,,,,,2,Strap Color,Beige,,1,,,,,,,,,,,,
