ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8685374603584,Red Christmas Snowman Nana Mom Sweet Heart Kids Personalized Mug LPL24NOV22TP6,1,0,visible,,"<ul>
<li>
<strong>Best Material:</strong> Our products are made from premium quality ceramic, manufactured to be microwave safe and dishwasher for any cold or hot beverages. You can choose what design suitable for your purpose.</li>
<li>
<strong>Perfect Quality and Durability:</strong> High quality print to ensure quote sayings are not easily removed. Printed with superior ceramic inks that are fired on at a temperature of up to 1200 degrees. This coffee mug has a high definition printing on BOTH SIDES, perfect either for right or left handed users. And guarantee to be durable for years. The full range of colors available for your artwork in this range is: Red, Black, Pink, Light Blue.</li>
<li>
<strong>Home decoration:</strong> You always feel energetic and good mood whenever using colorful and meaning mugs in your house.</li>
<li>
<strong>Gift of love:</strong> A perfect idea if you are finding a birthday gift, a housewarming gift, a festival gift, a Mother’s Day/ Father’s Day/ Valentine’s Day/ Christmas gift for your family or friends.</li>
<li>
<strong>Widely usage:</strong> It's great gift for family, co-workers or friends in their birthdays or any occasions. Or it can be your indispensable part of your energetic morning with coffee, tea or any liquid.</li>
<li>11oz fluid capacity.</li>
<li>3.8” height x 3.2” diameter.</li>
<li>Printed in USA</li>
</ul>
<ul></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL24NOV22TP6-ads-2.jpg?v=1714530266,,,,,,,,,0,Package,Size: 11OZ,0,1,Size: 11OZ,,,,,,,,,,,
,variation,8685374603584-1,Red Christmas Snowman Nana Mom Sweet Heart Kids Personalized Mug LPL24NOV22TP6,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,25.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL24NOV22TP6-ads-2.jpg?v=1714530266,,,8685374603584,,,,,,1,Package,Size: 11OZ,,1,,,,,,,,,,,,
,variable,8876150849856,Christmas Blue Vibe Snowman Grandma Mom Colorful Kids Personalized Mug NVL01NOV23VA1,1,0,visible,,"<p>Grip it and sip it. Personalize an 11oz white mug with one of your favorite images. Full color imprinting, strong ceramic construction, and everyday convenience come together in one product.<br>Microwave safe.<br>Dishwasher safe.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads1.jpg?v=1699082158,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads2.jpg?v=1699082158,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads4.jpg?v=1699082133,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads3.jpg?v=1699082133",,,,,,,,,0,Size,"11OZ,15OZ",0,1,11OZ,,,,,,,,,,,
,variation,8876150849856-1,Christmas Blue Vibe Snowman Grandma Mom Colorful Kids Personalized Mug NVL01NOV23VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads2.jpg?v=1699082158,,,8876150849856,,,,,,1,Size,11OZ,,1,,,,,,,,,,,,
,variation,8876150849856-2,Christmas Blue Vibe Snowman Grandma Mom Colorful Kids Personalized Mug NVL01NOV23VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,,,,8876150849856,,,,,,2,Size,15OZ,,1,,,,,,,,,,,,
,variable,8986266829120,Flower Gnome Grandma Mom Butterfly Kids Personalized Tumbler With Straw CTL27DEC23CT1,1,0,visible,,"<p>If you are looking for one of a kind gift for your boyfriend or your husband, we got you covered! It can hold up to 40 oz of liquids and has a smart lid for easy use.<br><br>The best part is that you can customize the design printed on it, including your appearance or your name!<br><br>This wine tumbler will be a hit on his birthday, your anniversary, or just a surprise gift on a regular day.<br> </p><p><strong>PRODUCT DETAILS:</strong></p><ul>
<li>Made of high-quality 304 stainless steel.</li>
<li>Double Wall Insulation: Keeps beverages hot or cold.</li>
<li>40oz fluid capacity.</li>
<li>Includes (1) tumbler, BPA-free clear lid, and straw.</li>
<li>For best results, hand wash with soap, water and a scratch-free sponge.</li>
</ul><p style=""margin-left:0px;""><strong>Personalization:</strong></p><ul>
<li>Please fill in the required fields and carefully double-check the spelling</li>
<li>To ensure the best looking, please use standard English only and exclude special characters</li>
<li>The last step, click “Preview Your Personalization” to get a glimpse of the wonderful creation you've made</li>
</ul><p style=""margin-left:0px;"">Let’s create your own shirt and click “Add To Cart” NOW to get one!</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL27DEC23CT1-ads.jpg?v=1703729501,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v3_0c090215-7ae9-4e30-b1a1-b8e72bc15adf.jpg?v=1703729501,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v4_d8d62f20-c599-40bd-ad32-a0b48585d3d8.jpg?v=1703729501,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v2_77635069-5d7d-44e8-b702-30660e6c3cb3.jpg?v=1703729501,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_1e0a46d3-999d-4694-ae4c-52526ea29848.jpg?v=1703729481",,,,,,,,,0,Size,40OZ,0,1,40OZ,,,,,,,,,,,
,variation,8986266829120-1,Flower Gnome Grandma Mom Butterfly Kids Personalized Tumbler With Straw CTL27DEC23CT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v3_0c090215-7ae9-4e30-b1a1-b8e72bc15adf.jpg?v=1703729501,,,8986266829120,,,,,,1,Size,40OZ,,1,,,,,,,,,,,,
,variable,8685392953664,Customized Grandma Mom Infinite Love Mothers Day Valentine Family Gift Mug HLD14DEC22TT2,1,0,visible,,"<ul>
<li>
<strong>Best Material:</strong> Our products are made from premium quality ceramic, manufactured to be microwave safe and dishwasher for any cold or hot beverages. You can choose what design suitable for your purpose.</li>
<li>
<strong>Perfect Quality and Durability:</strong> High quality print to ensure quote sayings are not easily removed. Printed with superior ceramic inks that are fired on at a temperature of up to 1200 degrees. This coffee mug has a high definition printing on BOTH SIDES, perfect either for right or left handed users. And guarantee to be durable for years. The full range of colors available for your artwork in this range is: Red, Black, Pink, Light Blue.</li>
<li>
<strong>Home decoration:</strong> You always feel energetic and good mood whenever using colorful and meaning mugs in your house.</li>
<li>
<strong>Gift of love:</strong> A perfect idea if you are finding a birthday gift, a housewarming gift, a festival gift, a Mother’s Day/ Father’s Day/ Valentine’s Day/ Christmas gift for your family or friends.</li>
<li>
<strong>Widely usage:</strong> It's great gift for family, co-workers or friends in their birthdays or any occasions. Or it can be your indispensable part of your energetic morning with coffee, tea or any liquid.</li>
<li>11oz fluid capacity.</li>
<li>3.8” height x 3.2” diameter.</li>
<li>Printed in USA</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD14DEC22TT2-ADS-2.jpg?v=1714522400,,,,,,,,,0,Color,"Red,Light Blue,Pink",0,1,Red,Size,11 oz,0,1,11 oz,,,,,,
,variation,8685392953664-1,Customized Grandma Mom Infinite Love Mothers Day Valentine Family Gift Mug HLD14DEC22TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,,,,8685392953664,,,,,,1,Color,Red,,1,,Size,11 oz,,1,,,,,,,
,variation,8685392953664-2,Customized Grandma Mom Infinite Love Mothers Day Valentine Family Gift Mug HLD14DEC22TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,,,,8685392953664,,,,,,2,Color,Light Blue,,1,,Size,11 oz,,1,,,,,,,
