ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684891734336,Personalized Dog Mom Puppy Pet Dogs Lover Texture Leather Purse NVL23FEB22TT2,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <meta charset=""utf-8"">
<div>Whether it's for your next glamorous night out or a casual stroll around town, our stylish, vertical Women's Clutch Purse suits every fashionista's preference.</div>
<div></div>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""></span><strong data-mce-fragment=""1"">Product details:</strong></p>
<ul data-mce-fragment=""1"">
<li><span>Made from high-grade microfiber material with a single zippered top closure for quick and easy access</span></li>
<li><span>2 side</span></li>
<li><span>Included wristlet strap handle makes sure it’s always where you want it to be</span></li>
<li><span>Size: 19.5cm(L) x 2 cm(W) x 9.5 cm (H). Weight: 7.5 oz.</span></li>
<li><span>Includes eight card slots, one zipper pocket, one phone pocket, and two full-length pockets</span></li>
</ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Personalization:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Please fill in the required fields and carefully double-check the spelling</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">To ensure the best looking, please use standard English only and exclude special characters</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">The last step, click “<strong data-mce-fragment=""1"">Preview</strong>” to get a glimpse of the wonderful creation you've made</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Let’s create your own shirt and click “<strong data-mce-fragment=""1"">Add To Cart</strong>” NOW to get one!</span></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL23FEB22TT2-ADS-2.jpg?v=1702352323,,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,8684891734336-1,Personalized Dog Mom Puppy Pet Dogs Lover Texture Leather Purse NVL23FEB22TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,,,,8684891734336,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
,variable,8684886622528,Dog Mom Custom Breeds Dogs Lover Cute Gift Puppy Pet Fur Babies Leather Zipper Pattern Purse HLD22FEB22NY1,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <meta charset=""utf-8"">
<div><strong>NOTE: NOT REAL LEATHER MATERIAL</strong></div>
<div>Whether it's for your next glamorous night out or a casual stroll around town, our stylish, vertical Women's Clutch Purse suits every fashionista's preference.</div>
<div></div>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""></span><strong data-mce-fragment=""1"">Product details:</strong></p>
<ul data-mce-fragment=""1"">
<li><span>Made from high-grade microfiber material with a single zippered top closure for quick and easy access</span></li>
<li><span>2 side</span></li>
<li><span>Included wristlet strap handle makes sure it’s always where you want it to be</span></li>
<li><span>Size: 19.5cm(L) x 2 cm(W) x 9.5 cm (H). Weight: 7.5 oz.</span></li>
<li><span>Includes eight card slots, one zipper pocket, one phone pocket, and two full-length pockets</span></li>
</ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Personalization:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Please fill in the required fields and carefully double-check the spelling</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">To ensure the best looking, please use standard English only and exclude special characters</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">The last step, click “<strong data-mce-fragment=""1"">Preview</strong>” to get a glimpse of the wonderful creation you've made</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Let’s create your own shirt and click “<strong data-mce-fragment=""1"">Add To Cart</strong>” NOW to get one!</span></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads1_fff4b2a7-f83e-4839-a97d-1b9fdcb4f222.jpg?v=1702362645,,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,8684886622528-1,Dog Mom Custom Breeds Dogs Lover Cute Gift Puppy Pet Fur Babies Leather Zipper Pattern Purse HLD22FEB22NY1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,,,,8684886622528,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
,variable,8684887146816,Granma Mom Mothers Day Best Gift Custom Names Leather Pattern Personalized Purse HLD22FEB22NY2,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <meta charset=""utf-8"">
<div><span data-mce-fragment=""1"">NOTE: NOT REAL LEATHER MATERIAL</span></div>
<div>Whether it's for your next glamorous night out or a casual stroll around town, our stylish, vertical Women's Clutch Purse suits every fashionista's preference.</div>
<div></div>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""></span><strong data-mce-fragment=""1"">Product details:</strong></p>
<ul data-mce-fragment=""1"">
<li><span>Made from high-grade microfiber material with a single zippered top closure for quick and easy access</span></li>
<li><span>2 side</span></li>
<li><span>Included wristlet strap handle makes sure it’s always where you want it to be</span></li>
<li><span>Size: 19.5cm(L) x 2 cm(W) x 9.5 cm (H). Weight: 7.5 oz.</span></li>
<li><span>Includes eight card slots, one zipper pocket, one phone pocket, and two full-length pockets</span></li>
</ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Personalization:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Please fill in the required fields and carefully double-check the spelling</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">To ensure the best looking, please use standard English only and exclude special characters</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">The last step, click “<strong data-mce-fragment=""1"">Preview</strong>” to get a glimpse of the wonderful creation you've made</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Let’s create your own shirt and click “<strong data-mce-fragment=""1"">Add To Cart</strong>” NOW to get one!</span></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads_20c0d96f-2b0a-4b31-ab0e-a0f9e4ec7156.jpg?v=1702350087,,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,8684887146816-1,Granma Mom Mothers Day Best Gift Custom Names Leather Pattern Personalized Purse HLD22FEB22NY2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,,,,8684887146816,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
,variable,8685401080128,"Cow Breeds, Just A Girl Who Loves Cows Colorful Leather Texture Personalized Woman Purse LPL20DEC22NY2",1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <p><strong>NOTE: NOT REAL LEATHER, the background only uses leather texture effect</strong></p>
<p>Whether it's for your next glamorous night out or a casual stroll around town, our stylish, vertical Women's Clutch Purse suits every fashionista's preference.</p>
<p style=""margin-left: 0px;""><strong>Product details:</strong></p>
<ul>
<li>Made from high-grade microfiber material with a single zippered top closure for quick and easy access</li>
<li>2 side</li>
<li>Included wristlet strap handle makes sure it’s always where you want it to be</li>
<li>Size: 19.5cm(L) x 2 cm(W) x 9.5 cm (H). Weight: 7.5 oz.</li>
<li>Includes eight card slots, one zipper pocket, one phone pocket, and two full-length pockets</li>
</ul>
<p style=""margin-left: 0px;""><strong>Personalization:</strong></p>
<ul>
<li>Please fill in the required fields and carefully double-check the spelling</li>
<li>To ensure the best looking, please use standard English only and exclude special characters</li>
<li>The last step, click “<strong>Preview</strong>” to get a glimpse of the wonderful creation you've made</li>
</ul>
<p style=""margin-left: 0px;"">Let’s create your own shirt and click “<strong>Add To Cart</strong>” NOW to get one!</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL20DEC22NY2-ads.jpg?v=1714509642,,,,,,,,,0,Size,19.5cm(L) x 2 cm(W) x 9.5 cm (H),0,1,19.5cm(L) x 2 cm(W) x 9.5 cm (H),,,,,,,,,,,
,variation,8685401080128-1,"Cow Breeds, Just A Girl Who Loves Cows Colorful Leather Texture Personalized Woman Purse LPL20DEC22NY2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL20DEC22NY2-ads.jpg?v=1714509642,,,8685401080128,,,,,,1,Size,19.5cm(L) x 2 cm(W) x 9.5 cm (H),,1,,,,,,,,,,,,
,variable,8685286129984,Love Horse Breeds Custom Name Hoofprint Leather Pattern Personalized Lady Purse LPL17SEP22CT2,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <meta charset=""utf-8"">
<div><strong>NOTE: NOT REAL LEATHER, the background only uses leather texture effect</strong></div>
<div><strong></strong></div>
<div>Whether it's for your next glamorous night out or a casual stroll around town, our stylish, vertical Women's Clutch Purse suits every fashionista's preference.</div>
<div></div>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""></span><strong data-mce-fragment=""1"">Product details:</strong></p>
<ul data-mce-fragment=""1"">
<li><span>Made from high-grade microfiber material with a single zippered top closure for quick and easy access</span></li>
<li><span>2 side</span></li>
<li><span>Included wristlet strap handle makes sure it’s always where you want it to be</span></li>
<li><span>Size: 19.5cm(L) x 2 cm(W) x 9.5 cm (H). Weight: 7.5 oz.</span></li>
<li><span>Includes eight card slots, one zipper pocket, one phone pocket, and two full-length pockets</span></li>
</ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<ul data-mce-fragment=""1""></ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Personalization:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Please fill in the required fields and carefully double-check the spelling</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">To ensure the best looking, please use standard English only and exclude special characters</span></li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">The last step, click “<strong data-mce-fragment=""1"">Preview</strong>” to get a glimpse of the wonderful creation you've made</span></li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Let’s create your own shirt and click “<strong data-mce-fragment=""1"">Add To Cart</strong>” NOW to get one!</span></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL17SEP22CT2-ads.jpg?v=1714524626,,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,8685286129984-1,Love Horse Breeds Custom Name Hoofprint Leather Pattern Personalized Lady Purse LPL17SEP22CT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,,,,8685286129984,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
